"n","p","e","s","v","d"
"1",5.4,10,523,916,14.7
"2",3.9,11.1,368,530,13.6
"3",3.6,9.2,290,375,11.7
"4",5.2,10.2,503,866,14.6
"5",6.6,13.7,842,1875,19
"6",4.8,10.7,467,774,14.4
"7",4.9,10.9,486,822,14.7
"8",4.2,4,216,222,9.3
"9",3.7,9.5,307,409,12
"10",4,9.7,344,488,12.6
"11",5.3,9.3,486,821,14.1
"12",7,6.8,607,1047,15.6
"13",5.1,12.9,577,1054,16.4
"14",6,8.2,535,927,14.5
"15",3.9,11,365,526,13.5
"16",3.2,10,265,322,11.9
"17",6.5,9.6,658,1274,16.2
"18",6.1,7.7,529,900,14.4
"19",4.7,11.9,490,826,15.2
"20",3.5,8.9,273,343,11.3
"21",4.7,10.7,455,743,14.2
"22",4.4,6.3,296,383,10.8
"23",5.4,12.9,621,1182,16.8
"24",3.6,9.4,294,383,11.8
"25",4.4,9.4,382,572,12.9
"26",3.9,7.2,272,344,10.6
"27",4.7,8.2,381,569,12.5
"28",3.9,8.5,304,406,11.5
"29",4.1,12.6,430,665,15
"30",5.6,11.7,609,1153,16.2
"31",4.3,11.4,424,662,14.3
"32",3.4,8.2,248,298,10.7
"33",5.9,9.6,575,1050,15.2
"34",5.3,9.5,493,838,14.2
"35",5.5,8.9,498,846,14.1
"36",4.2,10.3,383,571,13.3
"37",6,11.2,648,1267,16.4
"38",4.2,9.6,364,532,12.8
"39",4.9,11.7,511,883,15.3
"40",5.3,11,543,971,15.3
"41",7.8,11,921,2102,19.1
"42",4.8,6.8,350,492,11.8
"43",3.1,10.1,257,305,11.9
"44",4.5,10.2,416,649,13.6
"45",5.1,12,548,981,15.7
"46",4.4,5.7,279,347,10.5
"47",3,6.7,183,189,9
"48",3.3,12.2,321,417,13.9
"49",4.8,10,446,724,13.9
"50",5.3,9,476,794,13.9
"51",5.9,10,589,1094,15.5
"52",4.3,9.9,384,575,13.1
"53",4,9.9,349,498,12.7
"54",3.9,13.3,421,636,15.4
"55",3.2,7.2,209,232,9.6
"56",6,13.3,728,1504,17.9
"57",4.7,11.2,470,777,14.6
"58",5.4,10.9,553,999,15.3
"59",4.2,9.1,351,504,12.4
"60",7.4,11,856,1892,18.4
"61",5.7,10.9,595,1113,15.8
"62",4.9,11.6,508,875,15.2
"63",5.9,13.6,723,1487,18
"64",4.3,10.9,411,633,13.9
"65",4.4,15.6,553,949,17.9
"66",4.6,10.7,442,711,14.1
"67",5.1,10.8,510,882,14.9
"68",5.3,13.8,636,1218,17.4
"69",5.2,10.1,500,858,14.5
"70",5.1,11.3,526,923,15.2
"71",4.1,10.2,368,539,13.1
"72",4.3,9.4,370,546,12.7
"73",4.5,10.7,430,681,14
"74",5.3,11.1,546,980,15.3
"75",5.1,9.6,471,784,14
"76",3.3,14.6,371,499,16
"77",5.3,8.8,470,777,13.8
"78",5.5,10,536,950,14.9
"79",5.3,8.4,456,741,13.5
"80",5.8,8.4,517,888,14.3
"81",4,8.2,307,412,11.5
"82",4.4,8.7,362,529,12.4
"83",4.3,7.7,324,447,11.5
"84",3.5,11.2,323,431,13.2
"85",5.6,10.9,581,1074,15.6
"86",4.6,12.6,497,838,15.6
"87",4.2,8,322,443,11.6
"88",5.6,8.8,507,867,14.2
"89",5.4,7.8,448,715,13.3
"90",5.1,8,420,654,13
"91",4.3,9,359,523,12.4
"92",4.9,8.2,403,619,12.8
"93",4.4,7.5,329,456,11.6
"94",5.2,8.6,451,731,13.5
"95",6.5,8.4,609,1115,15.5
"96",4.2,12,428,665,14.6
"97",5.1,5.2,330,425,11.4
"98",3.6,11.5,342,468,13.6
"99",4.9,12.6,539,950,16
"100",4.1,10.1,366,533,13
