A	X	Y
0	37083	39167
1	38120	40288
2	38702	40161
3	39068	40829
4	39530	41555
5	39277	41410
6	39575	41785
7	39322	41358
8	39336	41798
9	40475	42515
10	41232	43235
11	42463	44626
12	44962	47068
13	45435	47610
14	46067	48383
15	47775	50115
16	48569	51514
17	49205	52203
18	49374	51998
19	49500	51394
20	50313	52073
21	50901	52238
22	51097	51994
23	51813	52812
24	53243	53980
25	54245	54599
26	55524	55711
27	56694	56740
28	55955	56659
29	53207	54360
30	51955	52889
31	51598	52101
32	52173	52218
33	53663	53781
34	56356	55602
35	57276	56037
36	59068	58001
37	62104	61412
38	63881	63578
39	66485	66857
40	69503	70359
41	70323	72149
42	70022	71634
43	70086	72168
44	71534	73394
45	71546	72582
46	70736	72347
47	68674	70640
48	66202	67527
49	64591	65449
50	62144	62382
51	60233	60283
52	59351	58476
53	57409	56035
54	53968	52312
55	51710	50044
56	50895	49168
57	49443	47324
58	48759	46719
59	49402	47225
60	51382	48670
61	51871	48691
62	50007	47228
63	37072	34275
64	41898	37750
65	47241	42331
66	45439	40746
67	49542	44316
68	52995	46751
69	56242	49246
70	45353	39255
71	34422	29090
72	32629	27250
73	31937	25632
74	31704	24499
75	31667	23999
76	31917	23496
77	32042	23134
78	31977	22246
79	31081	20890
80	29714	19225
81	28344	17338
82	27930	15399
83	27883	13333
84	26804	11486
85	25029	9705
86	22872	8610
87	20492	7426
88	16933	5983
89	13509	4533
90	7373	2420
91	4994	1588
92	4167	1236
93	3605	983
94	3785	994
95	9170	2241
